T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1575,0.062845561,0.043585718,0.190892692,0.567490658,0.018959272,0.062462979,0.005063066,0.000936761,0.040818371,0.00470449,1.142836161
1575,0.054696071,0.046919626,0.046697558,0.617397555,0.021480445,0.079162422,0.019301479,0.00246453,0.087457463,0.01520843,1.054957788
1575,0.043526103,0.118755799,0.190403965,0.445345766,0.005647614,0.108031635,0.007276258,0.001325941,0.071889424,0.004769587,1.013912031
1603,0.015029861,0.160375036,0.091357981,0.453993458,0.076284151,0.123583951,0.019580899,0.00120212,0.040484398,0.007883804,0.736130939
1603,0.054050834,0.129774993,0.173183638,0.409220161,0.01747576,0.116163873,0.017977987,0.001312941,0.062742832,0.012183517,0.850793334
1603,0.042843359,0.060572263,0.175865502,0.422709186,0.098608759,0.123645216,0.006406668,0.001567585,0.049936613,0.013892721,0.566912273
1601,0.044743479,0.054590638,0.199226338,0.457335855,0.081068164,0.085646027,0.007818208,0.001414225,0.055163159,0.008912757,0.735174342
1601,0.022715605,0.094399435,0.118396803,0.550039583,0.122456479,0.038120183,0.019385794,0.000547437,0.025567476,0.004435803,0.777514118
1601,0.04150469,0.134186621,0.146389342,0.466247889,0.041239387,0.088451939,0.011417841,0.001168283,0.052919964,0.008283125,0.915434703
1474,0.036729925,0.097185898,0.108698464,0.38184282,0.049064013,0.154856651,0.042661426,0.00210884,0.089614216,0.025374721,0.670646027
1507,0.055638542,0.081869483,0.131507606,0.379338318,0.037317657,0.174706231,0.020153567,0.002794335,0.081092549,0.020248858,0.641338403
1507,0.090481203,0.054338288,0.190084036,0.382556448,0.061105683,0.103268689,0.018274856,0.001812583,0.070619598,0.018229169,0.593682358
1507,0.097771782,0.047031598,0.181633326,0.469490869,0.030663877,0.070036612,0.016681538,0.001784453,0.067231655,0.010932784,0.814078632
1474,0.108967105,0.017292042,0.228562996,0.445392952,0.094460238,0.043660969,0.008936456,0.001436891,0.036788409,0.011796122,0.57826103
1474,0.066499169,0.082857597,0.160009348,0.380974107,0.021809414,0.139112903,0.035110059,0.002168637,0.076403626,0.022636354,0.740995711
1507,0.070422019,0.095236977,0.182779659,0.433705739,0.027056289,0.099992979,0.015456662,0.00153955,0.059731565,0.009141658,0.813446496
1474,0.102943914,0.04310666,0.206933436,0.450316352,0.038782892,0.07594983,0.010906566,0.001466902,0.054586565,0.01046876,0.734032351
1507,0.10832959,0.019257104,0.167443631,0.564505613,0.053175901,0.034338207,0.004652732,0.001172415,0.03632835,0.009697822,0.802957013
1615,0.074076641,0.003836767,0.156479892,0.684081273,0.052970962,0.012890724,0.001851962,0.000320683,0.005052532,0.008028789,1.117378313
1617,0.111919834,0.002567898,0.08984844,0.675547261,0.046258579,0.005298836,0.002002259,0.001931658,0.012522463,0.051999925,0.903470992
1613,0.106761564,0.002985472,0.125551485,0.655382094,0.052994389,0.004061866,0.00349178,0.002165565,0.005607632,0.040588197,0.92038188
1617,0.102028662,0.019977609,0.171588839,0.573622805,0.044824035,0.035424831,0.004691799,0.001182259,0.010167314,0.035484703,0.874688042
1622,0.068067846,0.045481279,0.172654975,0.551858527,0.014803484,0.069556009,0.006074605,0.001286992,0.01853469,0.050756537,1.067484074
1617,0.050326542,0.129054275,0.111228478,0.417562277,0.050157264,0.116558544,0.031769418,0.000161798,0.014578353,0.078292927,0.673487321
1623,0.042704558,0.097538527,0.113093119,0.383933416,0.0524871,0.154337067,0.04121794,0.001974127,0.021302635,0.084999942,0.62170022
1615,0.073791502,0.081960624,0.148994083,0.36785551,0.032889061,0.171787687,0.020789853,0.002875034,0.010066168,0.079908069,0.583488418
1719,0.065006233,0.081468211,0.184070207,0.528039842,0.01122111,0.073557329,0.005148004,0.000939604,0.016268969,0.034280491,1.071740328
1701,0.129869151,0.014680861,0.223091509,0.53396925,0.018260972,0.031156497,0.008703229,0.001513162,0.011685087,0.026256155,0.906885555
1707,0.068828195,0.08431902,0.183253663,0.521564765,0.011585774,0.073622867,0.005152591,0.000940442,0.017132365,0.033199746,1.044748558
1718,0.070761601,0.010021567,0.232635719,0.516203486,0.105546289,0.031913918,0.003767506,0.001413479,0.008196652,0.019138409,0.722516217
1720,0.051930409,0.088828819,0.16019513,0.381762693,0.013456132,0.182852667,0.021398285,0.003081504,0.019244647,0.077042471,0.66828401
1718,0.054142308,0.060216695,0.147229084,0.502247483,0.006265067,0.090440723,0.024132286,0.002574952,0.03762521,0.074277073,1.035877523
1703,0.044341781,0.088261936,0.160219704,0.492367474,0.00674924,0.102591126,0.024365991,0.001408516,0.011830265,0.067334605,1.04455236
1707,0.049288497,0.092168556,0.153997267,0.48163014,0.007757933,0.101387478,0.024006478,0.001306102,0.013986856,0.071550001,1.016745468
1718,0.109164283,0.000710944,0.089885608,0.687530111,0.042838149,0.004671917,0.002066904,0.002085703,0.011138121,0.049908259,0.943345599
